country,paxp_dom,paxp_int_dep,paxp_int_arr,paxp_int,paxp_tot,year
AE,0.004214781626974602,2.656555441101955,2.404629775168586,5.061185216270541,5.065399997897516,2011
AF,0.03433743445995851,0.02881274408209323,0.07759188062491582,0.10640462470700904,0.14074205916696755,2011
AG,0.011235694759764629,3.9833086225269896,1.2681035949281445,5.251412217455134,5.262647912214899,2011
AL,0.0,0.33927104341948355,0.03715127405371513,0.37642231747319865,0.37642231747319865,2011
AM,0.0,0.31090149045418314,0.026580015751109066,0.3374815062052922,0.3374815062052922,2011
AO,0.04623679596365599,0.03046004121172243,0.12082659283796932,0.15128663404969175,0.19752343001334774,2011
AR,0.1315448401726692,0.13004347403084449,0.27799396586056335,0.40803743989140784,0.539582280064077,2011
AT,0.03368865769837024,1.0159924558604692,0.6825374615662231,1.6985299174266921,1.7322185751250623,2011
AU,1.9918827924211875,0.6103243471075672,3.76067489462595,4.370999241733517,6.362882034154705,2011
AZ,0.004926022158240737,0.12638915747908147,0.04359134659558949,0.16998050407467097,0.1749065262329117,2011
BA,0.0,0.08621069336185438,0.033966343626054205,0.12017703698790859,0.12017703698790859,2011
BB,0.0,2.805568934485893,1.3666867548607164,4.17225568934661,4.17225568934661,2011
BD,0.004421917065025314,0.017080699402092864,0.3082741864257472,0.3253548858278401,0.32977680289286543,2011
BE,0.00045675949701013676,0.9289081291957191,0.8105141347617879,1.739422263957507,1.7398790234545172,2011
BF,8.31837506244783e-05,0.014591846263945283,0.016529007158315772,0.031120853422261056,0.031204037172885536,2011
BG,0.019081371675570204,0.27860434077120333,0.16393427409728728,0.4425386148684906,0.46161998654406083,2011
BH,0.0,2.2665538547211965,0.4449931777211556,2.7115470324423523,2.7115470324423523,2011
BI,0.0,0.010959378586780089,0.007536537690602797,0.018495916277382885,0.018495916277382885,2011
BJ,0.0,0.032565706826408435,0.04876102173001725,0.08132672855642568,0.08132672855642568,2011
BN,0.0,1.2672532293077678,0.0322103264301011,1.2994635557378689,1.2994635557378689,2011
BO,0.17431417299316673,0.05462285034519032,0.024107452884425368,0.07873030322961569,0.2530444762227824,2011
BR,0.37912171363072344,0.041954846301503534,0.4663584614657672,0.5083133077672708,0.8874350213979942,2011
BS,2.050144056557331,3.9559195004963295,0.06162251900725124,4.017542019503581,6.0676860760609115,2011
BT,0.0,0.11012761902345297,0.0009898940913410537,0.11111751311479402,0.11111751311479402,2011
BW,0.0553754819667862,0.13657690851613308,0.01639365887748412,0.1529705673936172,0.2083460493604034,2011
BY,0.0,0.055538447977273725,0.0441916732845402,0.09973012126181392,0.09973012126181392,2011
BZ,0.5532114464494131,0.7163563480375683,0.0194368004085258,0.7357931484460941,1.2890045948955073,2011
CA,0.8431982021245157,0.5839351775806609,1.8835805220710709,2.467515699651732,3.3107139017762472,2011
CD,0.01177873134150874,0.004819806927974216,0.025223592183786885,0.0300433991117611,0.04182213045326984,2011
CF,0.0,0.01908139763619978,0.005481311289099686,0.024562708925299465,0.024562708925299465,2011
CG,0.077620482267485,0.08861181276796615,0.03267001400504471,0.12128182677301086,0.19890230904049586,2011
CH,0.030625803285465984,2.0696248546315488,1.3094985496255915,3.3791234042571405,3.4097492075426064,2011
CI,0.0,0.019245322426246627,0.03728423683084876,0.056529559257095394,0.056529559257095394,2011
CK,4.139959896877685,6.6250358063592065,0.04615548245450629,6.671191288813713,10.811151185691397,2011
CL,0.3522448025036688,0.145493705096919,0.10554270515025893,0.25103641024717793,0.6032812127508467,2011
CM,0.009176463540682267,0.026351818359391994,0.06632550589517548,0.09267732425456748,0.10185378779524976,2011
CN,0.15801469882612754,0.025378347471992108,3.2445824896236655,3.2699608370956574,3.427975535921785,2011
CO,0.29400597627721703,0.07191356072988164,0.20782447117310432,0.27973803190298596,0.573744008180203,2011
CR,0.07786160583257572,0.38223922645353964,0.11023981409853069,0.4924790405520703,0.570340646384646,2011
CU,0.03976243656744713,0.13095214815710135,0.08007917246419062,0.21103132062129198,0.2507937571887391,2011
CV,1.0716439272181226,0.6373400124353301,0.05163907314567817,0.6889790855810083,1.760623012799131,2011
CY,0.003044065685529698,3.3268855544691505,0.19719313547804862,3.524078689947199,3.5271227556327287,2011
CZ,0.002143392541820975,0.42288727056738834,0.3215606324190385,0.7444479029864268,0.7465912955282478,2011
DE,0.20490410123817998,0.6678541164710812,4.8566312252130315,5.524485341684112,5.729389442922292,2011
DJ,0.0,0.2323484699934005,0.02390584192840542,0.2562543119218059,0.2562543119218059,2011
DK,0.259559180297294,1.510318265671893,1.1879648531434213,2.698283118815314,2.957842299112608,2011
DM,0.0,1.007255191589191,0.4435749587238313,1.4508301503130223,1.4508301503130223,2011
DO,0.0011739838895948387,0.3647702476526858,0.2224393859634467,0.5872096336161325,0.5883836175057274,2011
DZ,0.04744620112804856,0.08225905944214967,0.09100648285563423,0.1732655422977839,0.22071174342583247,2011
EC,0.20970929177215578,0.10865049229993082,0.055665007060615807,0.16431549936054662,0.37402479113270237,2011
EE,0.02725790630711534,0.6664441695458195,0.10911231820246436,0.7755564877482839,0.8028143940553992,2011
EG,0.016748389139067114,0.09126231011739325,0.7828522260490188,0.8741145361664121,0.8908629253054792,2011
ER,0.01874279844654884,0.05161273109587007,0.009941706059516952,0.061554437155387026,0.08029723560193587,2011
ES,0.6678616809640351,1.08457026604278,2.9991254123310633,4.083695678373843,4.751557359337878,2011
ET,0.004036415685372738,0.01036226850099898,0.12256732978805714,0.13292959828905612,0.13696601397442887,2011
FI,0.39591677506629713,0.8912108793945928,0.510999474098166,1.4022103534927588,1.7981271285590559,2011
FJ,0.25261668280415517,0.8215463949142814,0.8848432640521331,1.7063896589664145,1.9590063417705696,2011
FM,0.33941205964827575,0.3799977715463611,0.4788436429689073,0.8588414145152684,1.1982534741635442,2011
FR,0.24615377808222474,0.6097272408631925,4.842331744429236,5.452058985292429,5.698212763374654,2011
GA,0.03488862139692534,0.16738019680300342,0.027957447827670602,0.19533764463067402,0.23022626602759935,2011
GB,0.25668575862568754,1.2076521094513972,11.16138079266691,12.369032902118306,12.625718660743994,2011
GD,0.0,1.7131844502538387,0.3846783366775122,2.097862786931351,2.097862786931351,2011
GE,0.005944337202653898,0.17237879983167578,0.04129731964768285,0.21367611947935863,0.21962045668201252,2011
